area_name,total,number_minorities,largest_groups,area_code
Brus,2891,16,"['White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean', 'Asian/Asian British: Other Asian']",E36000001
Burn Valley,2522,14,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36000002
Dyke House,2186,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36000003
Elwick,830,9,"['White: Other White', 'Asian/Asian British: Indian', 'Asian/Asian British: Pakistani']",E36000004
Fens,2159,7,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: Other Mixed']",E36000005
Foggy Furze,2044,13,"['White: Other White', 'Mixed/multiple ethnic group: White and Asian', 'Asian/Asian British: Indian']",E36000006
Grange,2334,14,"['White: Other White', 'Asian/Asian British: Pakistani', 'Asian/Asian British: Bangladeshi']",E36000007
Greatham,952,4,"['White: Irish', 'White: Other White', 'Asian/Asian British: Indian']",E36000008
Hart,2899,11,"['White: Other White', 'Asian/Asian British: Indian', 'Asian/Asian British: Other Asian']",E36000009
Owton,2516,13,"['White: Other White', 'Asian/Asian British: Other Asian', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000010
Park,2446,13,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36000011
Rift House,2772,10,"['Asian/Asian British: Other Asian', 'White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000012
Rossmere,2792,13,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36000013
Seaton,2862,10,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000014
St Hilda,2610,14,"['White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean', 'Mixed/multiple ethnic group: White and Asian']",E36000015
Stranton,3133,16,"['White: Other White', 'Asian/Asian British: Chinese', 'White: Irish']",E36000016
Throston,2486,13,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36000017
Acklam,2498,16,"['Asian/Asian British: Pakistani', 'White: Other White', 'Asian/Asian British: Indian']",E36000018
Ayresome,2567,16,"['White: Other White', 'Asian/Asian British: Pakistani', 'White: Irish']",E36000019
Beckfield,2230,14,"['Black/African/Caribbean/Black British: African', 'Asian/Asian British: Chinese', 'White: Other White']",E36000020
Beechwood,2426,16,"['Asian/Asian British: Indian', 'White: Other White', 'Asian/Asian British: Pakistani']",E36000021
Brookfield,2482,13,"['Asian/Asian British: Indian', 'White: Other White', 'White: Irish']",E36000022
Clairville,2228,16,"['Asian/Asian British: Pakistani', 'White: Other White', 'Asian/Asian British: Indian']",E36000023
Coulby Newham,3827,15,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000024
Gresham,3820,16,"['Asian/Asian British: Pakistani', 'White: Other White', 'Black/African/Caribbean/Black British: African']",E36000025
Hemlington,2595,14,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: African']",E36000026
